person_id,severity,baseline_burden,access,age,support,followup_burden,contact_after,responded_after
P0929,5.33,65.08,0,54.9,1,73.77,2.9,1
P0930,0.5,59.26,0,66.8,0,52.28,1.56,1
P0931,3.29,44.89,0,49.6,0,56.39,2.74,1
P0932,3.06,60.18,1,49.6,1,70.83,2.7,1
P0933,6.9,68.69,1,38.0,1,71.74,2.99,0
P0934,4.41,51.3,0,22.3,0,76.0,1.83,0
P0935,3.33,49.47,1,50.2,0,62.92,1.66,1
P0936,0.78,37.01,0,57.8,0,51.54,1.73,1
P0937,2.48,46.21,1,60.2,0,60.45,1.34,1
P0938,9.59,71.39,1,48.3,1,81.26,2.43,0
P0939,7.03,49.75,0,60.8,0,62.76,2.2,0
P0940,4.08,59.68,0,24.5,0,71.42,1.97,0
P0941,7.53,61.13,0,33.9,1,74.3,3.04,1
P0942,4.04,53.35,0,57.8,0,55.31,1.55,0
P0943,2.93,53.83,1,36.6,1,72.02,3.45,0
P0944,8.02,56.9,1,39.1,1,82.47,1.94,0
P0945,3.53,58.45,0,68.3,0,67.59,0.84,0
P0946,6.14,60.35,1,64.1,1,68.92,2.02,0
P0947,4.1,55.84,1,66.6,1,49.01,2.92,1
P0948,7.97,64.23,0,48.1,1,78.18,2.15,0
P0949,5.82,53.4,1,54.8,1,62.88,3.79,0
P0950,7.36,59.18,1,38.6,1,75.94,2.88,0
P0951,5.1,58.39,0,48.8,1,46.62,2.55,1
P0952,7.75,53.86,1,35.0,1,67.21,3.17,0
P0953,3.05,52.16,1,24.4,0,55.13,1.88,0
P0954,7.53,48.86,1,35.4,1,58.87,3.12,1
P0955,2.28,49.63,0,29.1,0,56.38,1.8,1
P0956,3.93,45.06,1,57.8,0,68.33,1.75,0
P0957,9.44,85.62,1,30.9,1,92.46,3.12,0
P0958,1.67,49.87,0,39.0,1,52.15,2.8,1
P0959,6.61,68.18,1,33.0,1,77.35,2.93,0
P0960,3.25,47.11,0,56.0,0,58.21,2.09,0
P0961,0.72,35.43,0,45.0,0,33.93,1.93,1
P0962,4.68,59.59,1,61.5,1,62.4,2.2,1
P0963,5.46,62.2,0,28.3,1,57.33,3.1,1
P0964,2.29,50.32,1,28.5,1,57.14,3.67,1
P0965,8.24,69.01,0,45.0,1,80.12,2.98,0
P0966,6.66,67.73,0,45.8,1,78.98,3.93,0
P0967,7.39,65.74,1,60.2,1,65.69,2.98,1
P0968,5.45,50.83,1,43.4,0,74.09,2.31,0
P0969,3.54,59.81,1,37.5,1,55.57,2.71,0
P0970,4.57,43.14,1,49.0,1,51.41,2.81,1
P0971,3.65,54.61,1,35.8,1,57.02,1.87,0
P0972,3.09,50.85,0,57.8,0,57.92,1.52,1
P0973,1.44,44.34,1,29.8,1,49.34,2.8,1
P0974,2.26,42.74,0,42.2,0,46.43,1.64,1
P0975,4.02,56.44,1,51.4,0,49.17,1.98,1
P0976,0.84,41.7,1,31.5,1,35.96,2.53,1
P0977,7.19,62.41,1,44.8,1,76.42,2.61,0
P0978,2.63,38.21,1,25.9,1,39.23,2.23,1
P0979,9.39,62.06,0,69.0,1,85.18,2.94,0
P0980,9.99,76.12,0,63.7,1,85.3,2.28,0
P0981,2.22,56.61,0,30.6,0,58.81,2.21,0
P0982,0.95,40.81,0,41.6,0,30.71,1.71,1
P0983,1.96,55.78,0,65.5,0,58.54,1.86,0
P0984,5.65,60.01,1,27.2,1,80.76,2.38,0
P0985,4.51,52.82,1,38.7,1,54.86,2.43,1
P0986,8.09,61.85,0,69.2,1,69.63,3.26,1
P0987,8.35,71.77,0,20.0,1,83.81,2.34,0
P0988,7.17,62.5,0,52.4,1,53.56,2.8,1
P0989,3.05,51.64,1,42.9,1,50.85,3.19,1
P0990,1.72,51.37,0,22.4,1,47.56,2.19,0
P0991,4.52,52.62,1,54.8,0,56.84,1.77,0
P0992,5.26,45.8,1,52.2,1,47.77,2.85,1
P0993,8.27,57.68,0,44.8,1,58.36,3.11,1
P0994,1.95,45.5,1,41.1,1,54.25,2.77,1
P0995,0.95,51.8,0,21.1,0,44.82,1.51,1
P0996,0.54,40.03,1,36.0,0,28.82,2.38,1
P0997,4.6,51.22,0,42.7,1,56.81,2.32,1
P0998,5.16,66.09,1,24.3,1,58.99,3.15,1
P0999,6.68,72.04,0,59.0,1,79.25,3.05,0
P1000,6.61,50.99,1,64.8,1,59.22,3.19,0
P1001,4.28,47.13,0,52.8,0,45.83,2.39,1
P1002,2.07,50.74,1,29.4,1,47.44,2.31,1
P1003,4.72,49.5,0,41.8,1,49.3,1.95,0
P1004,9.35,67.76,0,25.9,1,84.16,2.64,0
P1005,0.15,34.5,1,32.0,1,45.93,2.36,1
P1006,9.06,56.8,1,48.9,1,70.58,3.17,0
P1007,6.05,37.38,0,61.9,0,41.89,2.46,1
P1008,5.27,55.25,1,40.2,1,60.64,2.24,0
P1009,5.8,56.09,1,44.5,1,64.08,2.95,0
P1010,1.36,51.03,0,20.6,0,62.85,1.5,1
P1011,0.62,46.97,1,38.1,0,50.23,1.59,1
P1012,9.21,58.74,1,26.7,1,77.74,2.35,0
P1013,8.17,66.62,1,28.2,1,79.04,2.46,0
P1014,0.64,39.68,0,23.6,0,41.06,0.86,1
P1015,9.94,65.99,0,69.0,1,83.63,3.24,0
P1016,8.34,62.59,0,57.6,0,77.73,1.91,0
P1017,4.14,50.6,1,46.2,1,42.52,3.46,1
P1018,4.47,52.62,1,38.9,0,67.43,1.38,0
P1019,4.53,51.44,0,59.8,0,62.34,1.94,0
P1020,8.31,78.05,1,41.8,1,91.01,3.18,0
P1021,4.15,48.17,1,20.8,1,62.64,3.05,1
P1022,1.42,56.04,1,44.1,0,62.14,1.7,0
P1023,4.59,61.03,0,23.8,1,63.7,3.4,0
P1024,3.81,48.7,1,65.1,0,52.07,2.13,1
P1025,8.54,70.96,1,64.6,1,80.91,3.4,1
P1026,0.47,34.39,0,67.3,0,37.23,2.53,1
P1027,2.64,50.84,1,42.2,0,56.08,1.96,1
P1028,4.39,61.01,1,62.0,1,60.44,2.85,0
P1029,2.34,47.4,1,39.3,0,53.37,1.79,1
P1030,6.75,65.09,1,52.2,1,77.78,2.74,0
P1031,9.73,56.36,0,68.7,1,73.15,3.37,1
P1032,4.25,51.48,1,22.2,1,61.35,3.26,1
P1033,0.29,42.64,1,44.2,0,49.71,1.64,1
P1034,8.73,54.57,0,25.4,1,71.81,3.0,0
P1035,3.57,56.13,0,52.0,0,56.23,2.4,1
P1036,8.26,68.51,0,50.2,1,61.15,2.4,1
P1037,5.97,49.35,1,62.4,1,51.16,2.4,1
P1038,1.09,43.69,1,24.0,1,54.17,2.37,1
P1039,5.6,64.24,1,56.7,1,64.44,2.71,0
P1040,5.34,54.9,0,37.6,0,70.88,2.17,0
P1041,9.56,58.24,0,62.2,1,67.78,2.89,0
P1042,4.25,48.44,0,27.5,1,50.32,3.0,1
P1043,5.21,53.01,0,36.4,1,66.83,2.56,1
P1044,1.28,46.05,1,22.7,0,58.33,2.06,1
P1045,7.19,60.49,0,30.7,1,75.45,3.72,0
P1046,7.95,63.26,1,63.6,1,76.61,3.08,0
P1047,0.68,35.27,0,48.1,1,39.01,2.98,1
P1048,8.21,59.45,0,54.6,1,68.78,2.41,0
P1049,1.69,47.06,1,21.0,0,62.86,1.41,0
P1050,3.52,51.7,0,24.9,0,50.55,2.45,1
P1051,1.9,36.68,1,54.7,1,40.81,2.46,1
P1052,6.85,61.27,0,53.4,0,76.83,1.6,1
P1053,0.9,43.8,1,20.2,0,54.88,1.98,0
P1054,2.46,47.32,0,41.4,0,57.36,1.56,0
P1055,8.48,65.81,1,33.6,1,64.82,3.05,0
P1056,6.01,52.3,1,60.0,1,66.94,3.17,0
P1057,0.91,37.79,0,52.3,0,38.99,1.27,1
P1058,6.76,58.72,0,49.1,0,66.88,1.21,0
P1059,0.41,35.33,0,45.4,0,41.59,1.6,1
P1060,6.76,62.13,1,61.7,1,77.27,3.14,0
P1061,0.96,49.06,1,64.6,1,52.97,3.19,1
P1062,5.58,43.22,1,62.7,1,50.42,1.89,1
P1063,3.43,46.17,1,40.0,0,43.29,2.09,1
P1064,2.06,54.25,0,62.0,0,53.44,2.05,1
P1065,0.63,39.56,0,28.1,0,38.69,1.9,1
P1066,7.59,55.17,1,39.1,1,70.95,2.47,0
P1067,8.47,72.69,1,48.1,1,82.05,2.4,1
P1068,5.86,61.57,0,67.4,1,65.25,3.21,1
P1069,8.65,67.03,0,27.5,1,74.19,2.08,0
P1070,3.74,42.21,1,67.2,1,40.37,2.97,1
P1071,3.71,50.85,1,49.4,1,54.8,1.62,1
P1072,0.78,46.48,1,26.9,0,59.19,2.55,0
P1073,2.14,47.69,1,63.9,0,50.24,1.56,1
P1074,8.22,68.57,1,58.8,1,78.81,2.68,0
P1075,0.82,37.69,0,61.4,0,31.56,1.62,1
P1076,0.97,44.67,0,67.4,0,46.81,3.12,1
P1077,7.09,48.44,0,39.4,1,49.6,2.0,1
P1078,7.5,51.9,1,50.9,1,55.17,2.55,1
P1079,2.54,49.33,1,66.0,0,40.22,2.26,1
P1080,3.82,50.68,1,60.1,1,53.19,2.78,0
P1081,8.92,65.33,0,48.0,1,81.79,2.48,1
P1082,8.73,49.25,1,29.9,1,64.95,2.57,0
P1083,7.96,64.8,1,60.6,1,75.81,2.95,1
P1084,0.01,27.11,0,47.5,0,25.52,1.86,1
P1085,2.28,48.26,1,39.5,1,48.05,3.19,1
P1086,3.6,50.89,1,36.6,0,63.38,2.54,1
P1087,8.57,67.93,0,58.1,1,67.43,2.71,0
P1088,9.97,71.26,1,45.5,1,91.87,3.46,0
P1089,1.55,49.68,1,69.8,1,30.89,2.99,1
P1090,0.45,38.92,0,62.4,0,28.78,2.09,1
P1091,3.71,53.38,0,65.8,1,49.53,2.35,1
P1092,6.1,59.91,1,30.7,0,74.78,2.6,0
P1093,1.59,43.43,0,32.9,0,45.99,0.99,1
P1094,4.75,65.78,0,47.3,0,73.84,2.38,0
P1095,0.82,35.6,1,33.4,1,41.0,3.72,1
P1096,3.24,39.19,0,22.9,0,46.96,2.72,1
P1097,6.05,58.23,0,35.9,0,83.44,2.04,0
P1098,3.17,54.65,1,44.2,1,56.27,2.73,1
P1099,5.83,59.5,0,47.1,0,64.53,1.4,1
P1100,0.05,49.79,1,69.2,1,53.37,2.48,0
P1101,9.89,82.24,1,59.6,1,82.36,3.23,0
P1102,4.98,54.54,1,46.1,1,64.23,3.23,1
P1103,5.17,55.86,1,33.8,1,60.17,2.53,0
P1104,8.21,65.44,0,65.0,1,73.23,3.23,0
P1105,3.52,47.31,0,61.4,0,69.65,1.51,0
P1106,4.92,52.38,0,49.5,1,60.27,3.63,1
P1107,6.52,62.3,0,57.6,1,75.22,2.82,0
P1108,8.34,64.95,0,30.6,1,81.11,1.8,0
P1109,3.18,42.53,1,30.5,0,53.74,1.77,1
P1110,1.29,26.82,1,24.1,1,28.86,3.53,1
P1111,8.26,58.89,1,65.2,1,70.47,3.46,0
P1112,8.92,68.49,0,62.4,1,91.97,2.4,0
P1113,4.61,62.97,0,27.4,0,60.61,2.06,0
P1114,1.7,41.98,1,66.5,1,52.29,2.94,1
P1115,0.19,35.59,0,46.2,0,33.5,1.77,1
P1116,4.91,50.81,1,26.8,1,60.61,2.56,1
P1117,2.13,69.49,0,65.6,0,74.2,1.96,0
P1118,8.99,54.22,1,46.2,1,63.96,2.25,1
P1119,3.0,53.58,1,53.2,0,58.68,2.53,1
P1120,0.21,33.52,1,40.2,0,25.97,1.84,1
P1121,6.81,61.24,0,67.9,1,74.82,3.12,0
P1122,9.51,88.11,0,40.2,1,98.47,2.61,0
P1123,2.31,52.73,1,45.6,0,57.77,1.33,1
P1124,2.1,48.83,1,26.1,1,50.29,2.48,1
P1125,8.97,73.83,1,41.9,1,86.58,1.91,0
P1126,1.91,30.83,0,43.6,1,25.57,3.11,1
P1127,9.23,60.07,0,48.1,1,72.16,3.03,0
P1128,3.56,35.18,0,65.4,0,40.36,1.85,1
P1129,2.49,51.13,0,48.8,1,60.84,3.9,1
P1130,3.07,40.39,0,53.5,1,45.67,2.35,1
P1131,8.53,79.34,0,36.1,1,102.95,2.45,0
P1132,7.07,52.92,1,48.6,1,57.9,3.97,0
P1133,0.62,41.56,1,35.5,0,40.52,2.24,1
P1134,8.14,65.4,0,67.8,1,68.02,2.79,0
P1135,9.98,68.25,0,46.0,1,83.39,2.08,1
P1136,0.11,34.88,0,45.5,0,28.38,2.58,1
P1137,2.46,57.71,1,45.2,0,65.35,1.55,1
P1138,1.38,39.77,0,32.9,1,34.85,2.48,1
P1139,0.52,42.25,1,62.2,0,47.57,1.43,0
P1140,5.25,45.5,0,59.2,0,59.39,1.49,0
P1141,2.05,47.71,0,28.9,0,55.63,2.1,1
P1142,7.55,55.47,1,60.9,1,76.29,2.47,0
P1143,8.6,76.62,1,41.3,1,96.89,3.43,0
P1144,4.82,61.77,1,43.3,1,71.08,3.31,0
P1145,5.92,59.02,1,39.6,1,60.77,2.44,1
P1146,9.06,60.21,1,65.5,1,67.3,3.95,0
P1147,7.97,61.47,1,54.9,1,73.46,2.77,0
P1148,4.62,48.69,0,60.0,0,60.15,2.11,1
P1149,6.48,64.75,1,55.0,1,72.65,3.22,1
P1150,3.4,53.33,0,56.3,0,63.7,2.11,0
P1151,4.47,42.92,0,63.9,1,56.2,2.99,1
P1152,3.58,60.87,0,62.2,1,61.95,3.31,1
P1153,5.35,49.05,0,57.0,0,62.9,1.84,1
P1154,7.88,62.9,1,61.9,1,74.82,2.88,0
P1155,4.35,50.96,1,58.7,1,50.18,3.0,1
P1156,2.28,33.2,0,69.6,0,37.33,1.4,1
P1157,6.13,56.92,1,57.0,1,64.1,1.76,0
P1158,2.55,50.1,0,50.1,0,50.49,2.03,1
P1159,8.87,58.02,0,66.5,0,78.27,0.78,0
P1160,7.97,56.93,1,52.8,1,57.8,2.64,1
P1161,8.86,65.29,1,29.0,1,78.61,2.88,0
P1162,1.5,49.66,1,23.8,0,55.74,1.88,0
P1163,6.75,66.99,0,55.7,1,78.83,3.18,0
P1164,8.84,58.18,1,43.7,1,58.97,3.54,1
P1165,0.29,41.82,0,50.7,0,41.7,1.07,1
P1166,4.56,56.83,1,44.3,0,69.02,2.38,0
P1167,7.45,71.43,0,27.8,1,81.42,2.89,0
P1168,4.03,58.97,0,40.6,0,62.09,1.7,0
P1169,3.3,52.98,1,23.2,0,68.59,1.65,0
P1170,4.25,50.2,1,66.8,0,60.71,2.67,0
P1171,6.98,60.16,1,44.3,1,71.73,2.58,1
P1172,6.04,68.76,0,32.4,0,78.38,2.46,0
P1173,2.89,59.99,0,50.4,0,54.13,1.75,1
P1174,1.42,42.03,0,26.7,0,37.93,2.04,1
P1175,1.72,38.65,0,66.5,0,47.27,2.63,1
P1176,9.1,75.58,0,34.2,1,85.56,2.06,0
P1177,5.02,53.95,0,25.9,0,66.07,1.9,0
P1178,8.56,82.65,0,48.0,1,107.7,3.14,0
P1179,2.16,40.23,1,35.6,1,40.34,2.58,1
P1180,3.66,44.29,0,37.6,1,34.05,2.16,1
P1181,0.4,38.76,1,42.0,0,48.99,1.66,1
P1182,8.63,85.5,0,27.7,1,82.81,2.49,0
P1183,1.95,41.71,1,65.0,0,57.33,2.24,0
P1184,3.46,43.73,0,54.4,0,56.88,2.17,0
P1185,6.68,61.78,1,21.4,1,64.42,3.3,0
P1186,5.43,48.1,1,52.7,1,57.43,2.81,0
P1187,7.08,57.37,0,27.5,1,55.72,2.69,1
P1188,9.96,65.68,1,62.2,1,84.43,3.32,1
P1189,0.79,32.67,1,61.3,0,27.8,2.42,1
P1190,1.36,51.52,0,27.9,0,56.54,2.7,1
P1191,7.4,57.85,1,58.1,1,70.11,2.97,1
P1192,4.62,75.97,0,29.2,0,95.07,2.63,0
P1193,1.63,47.96,0,47.1,0,63.31,2.09,1
P1194,9.54,74.17,1,34.9,1,106.76,3.14,0
P1195,1.27,40.86,1,50.6,0,33.28,2.64,1
P1196,5.8,63.01,1,49.1,1,73.53,3.17,0
P1197,6.17,66.09,1,30.6,1,76.89,2.41,0
P1198,9.43,53.16,1,32.1,1,66.72,2.54,1
P1199,1.94,39.21,1,42.1,0,48.2,1.25,0
P1200,2.54,47.47,1,20.9,0,56.51,1.05,0
P1201,7.72,73.5,0,42.0,1,74.88,3.55,0
P1202,2.2,44.16,1,47.3,0,50.15,1.14,1
P1203,4.79,46.1,0,33.6,0,69.54,2.78,0
P1204,4.04,53.58,1,53.8,1,50.68,3.6,1
P1205,7.2,53.61,1,26.9,0,56.65,1.81,1
P1206,0.17,27.25,0,22.9,0,27.34,2.46,1
P1207,3.77,49.12,0,45.7,1,57.11,2.57,1
P1208,3.78,50.26,0,56.4,1,56.55,2.36,1
P1209,9.57,62.5,1,24.9,1,70.01,2.63,0
P1210,0.87,32.79,1,22.3,1,20.6,2.98,1
P1211,3.0,57.97,0,46.4,1,50.26,2.75,1
P1212,3.29,69.74,1,62.7,1,61.5,3.05,0
P1213,3.72,52.95,0,21.9,1,62.19,2.54,1
P1214,9.7,70.71,0,52.8,1,87.54,3.5,0
P1215,6.65,70.42,1,33.9,1,81.03,2.0,0
P1216,9.94,70.81,1,26.3,1,91.26,2.74,0
P1217,3.13,51.39,0,67.0,0,64.28,2.32,0
P1218,0.44,37.06,1,57.8,0,38.14,1.38,1
P1219,4.3,43.13,1,28.8,1,41.15,2.97,1
P1220,0.92,44.38,0,43.1,0,50.65,2.4,0
P1221,1.41,43.49,1,34.1,0,43.29,1.75,1
P1222,2.34,42.96,0,26.6,0,46.9,2.01,1
P1223,9.32,67.09,0,22.7,1,77.28,2.77,0
P1224,2.45,37.61,1,30.2,0,40.7,1.76,1
P1225,9.58,63.79,1,22.4,1,72.82,2.65,0
P1226,3.9,58.1,1,34.7,1,65.71,3.89,0
P1227,3.87,47.66,0,29.4,0,60.32,1.53,1
P1228,8.2,77.31,0,39.4,1,85.48,3.25,0
P1229,2.16,40.31,1,34.0,1,36.74,1.95,1
P1230,0.22,37.32,1,41.5,0,43.2,1.9,1
P1231,1.73,50.8,1,27.2,0,50.4,1.93,1
P1232,0.31,44.28,1,31.2,0,52.54,1.62,0
P1233,0.42,29.27,1,48.8,0,28.78,1.51,1
P1234,8.91,63.13,1,21.6,1,73.25,3.14,1
P1235,1.49,39.79,1,54.9,0,43.21,1.23,1
P1236,3.35,41.92,1,59.8,1,36.84,2.71,1
P1237,0.46,29.12,0,31.1,0,33.63,2.99,1
P1238,5.27,60.99,1,40.9,1,80.29,3.34,1
P1239,1.25,37.85,1,47.9,1,46.44,3.18,1
P1240,4.43,65.55,1,25.5,1,62.06,3.51,1
P1241,7.73,69.41,0,23.2,1,75.21,2.34,1
P1242,8.38,66.12,1,46.7,1,91.0,3.57,0
P1243,1.76,42.19,1,42.7,0,56.7,2.01,1
P1244,2.14,39.23,1,65.8,0,63.73,1.59,0
P1245,6.97,64.07,0,38.5,1,58.12,3.25,1
P1246,7.22,69.68,0,25.0,1,90.96,3.26,0
P1247,1.72,43.01,1,52.8,0,45.77,2.15,1
P1248,3.47,63.94,0,35.9,1,56.67,2.71,1
P1249,0.97,43.78,0,44.2,0,50.07,2.2,1
P1250,9.6,72.77,0,59.3,1,92.99,3.24,0
P1251,6.22,59.84,1,52.2,1,82.17,2.36,0
P1252,8.18,89.59,1,41.2,1,114.07,3.34,0
P1253,3.6,55.57,0,37.0,1,53.66,2.73,1
P1254,8.28,62.53,0,60.1,0,70.56,1.72,0
P1255,1.62,47.77,1,38.2,0,50.11,1.47,1
P1256,8.02,54.77,0,41.7,1,67.3,2.99,0
P1257,2.03,47.55,1,25.9,0,45.84,1.37,1
P1258,6.49,56.15,0,22.5,1,74.53,2.97,0
P1259,3.9,68.61,1,59.0,0,74.45,1.63,0
P1260,1.25,55.48,0,37.3,1,60.13,2.75,0
P1261,2.94,43.31,1,55.5,0,59.23,2.34,0
P1262,5.41,65.87,1,44.2,1,74.34,3.05,0
P1263,2.16,42.51,1,38.7,1,51.66,2.12,1
P1264,8.76,57.77,1,39.2,1,86.68,2.39,0
P1265,3.75,44.97,0,34.4,0,49.82,1.88,1
P1266,8.89,71.36,0,34.3,1,91.04,3.03,0
P1267,6.74,59.93,1,58.2,1,63.32,3.44,0
P1268,4.22,58.77,1,43.6,1,58.15,2.87,1
P1269,2.9,44.08,1,41.3,0,42.09,1.94,1
P1270,8.76,68.01,1,28.8,1,80.18,3.42,1
P1271,2.45,40.53,1,35.9,0,38.8,2.15,1
P1272,4.69,36.77,0,58.4,1,44.4,3.18,1
P1273,4.65,54.08,0,32.0,0,68.32,1.56,1
P1274,6.34,54.45,1,20.6,1,65.69,1.7,0
P1275,4.89,53.46,1,20.9,1,72.97,3.46,1
P1276,9.09,74.09,1,27.1,1,90.29,3.18,0
P1277,1.22,49.17,0,23.2,0,50.21,1.46,1
P1278,3.6,41.77,1,22.8,0,53.41,2.29,0
P1279,3.51,48.39,1,53.2,1,58.3,2.88,0
P1280,7.67,56.66,1,59.4,1,79.07,3.09,0
P1281,9.58,62.31,0,24.7,1,87.13,2.48,0
P1282,7.98,66.01,1,51.1,1,94.24,3.3,0
P1283,1.75,52.34,1,53.8,0,57.19,2.44,0
P1284,2.23,49.93,1,62.6,0,49.88,1.4,1
P1285,8.11,74.61,1,69.2,1,82.41,2.01,0
P1286,9.9,63.58,0,21.3,1,77.07,3.22,0
P1287,6.75,64.22,0,34.3,1,68.6,2.43,0
P1288,5.54,55.23,1,42.5,1,69.38,2.69,0
P1289,7.86,66.97,1,39.1,1,88.34,3.18,0
P1290,1.01,47.37,1,39.0,0,43.93,1.76,1
P1291,6.97,60.85,0,62.8,0,73.94,2.01,0
P1292,4.9,59.7,1,65.6,1,66.3,3.2,0
P1293,5.12,53.97,1,49.6,1,72.53,2.74,1
P1294,7.24,67.28,0,21.8,1,67.92,2.36,1
P1295,8.4,55.28,1,67.2,1,70.61,2.51,0
P1296,7.5,67.29,0,22.0,1,81.64,2.28,0
P1297,6.96,65.51,1,62.7,1,66.11,2.74,0
P1298,0.77,41.1,1,46.6,1,48.17,3.23,1
P1299,3.9,72.95,1,62.5,0,76.24,2.35,0
P1300,9.85,65.95,0,69.9,1,82.62,2.16,0
P1301,6.02,54.83,1,66.7,1,59.18,2.74,1
P1302,2.28,62.66,1,68.8,0,70.74,1.73,0
P1303,0.32,55.26,0,67.7,0,53.68,1.67,1
P1304,1.87,46.45,1,37.6,0,42.31,1.85,1
P1305,8.22,72.25,1,59.5,1,72.15,3.65,1
P1306,4.19,49.1,0,33.9,0,65.64,1.57,1
P1307,2.53,70.71,1,33.9,1,62.94,3.25,1
P1308,2.24,44.12,0,33.8,0,55.22,2.03,0
P1309,2.83,27.97,1,63.6,1,24.42,3.22,1
P1310,1.59,35.45,0,52.7,0,48.55,1.5,1
P1311,4.66,52.56,1,40.7,1,43.76,2.48,1
P1312,8.66,77.31,1,39.9,1,98.39,3.0,0
P1313,8.03,56.32,1,66.7,1,70.78,2.96,0
P1314,7.05,53.41,0,67.4,1,51.06,2.56,1
P1315,8.31,70.22,1,55.8,1,90.73,2.83,0
P1316,5.24,49.61,1,42.2,1,63.94,2.28,1
P1317,9.86,69.54,0,33.3,1,95.08,2.92,0
P1318,1.74,30.55,0,24.3,1,26.89,3.19,1
P1319,3.91,44.49,0,51.1,0,61.18,2.23,1
P1320,9.71,77.15,1,39.5,1,90.57,2.87,0
P1321,9.4,63.19,1,31.6,1,68.08,2.52,0
P1322,3.65,47.68,0,52.5,0,52.54,1.92,0
P1323,7.09,56.15,0,37.8,1,65.5,2.68,1
P1324,7.3,78.23,0,45.8,1,86.85,2.65,0
P1325,7.4,59.77,0,42.4,1,68.26,3.26,1
P1326,0.6,42.91,0,25.8,0,50.51,2.78,1
P1327,9.91,61.4,1,55.8,1,72.07,2.38,0
P1328,1.13,44.92,0,36.4,0,57.12,1.96,1
P1329,0.25,57.28,1,24.2,0,49.98,2.18,1
P1330,1.4,38.08,0,20.1,0,33.82,1.83,1
P1331,6.61,72.33,1,29.9,1,82.41,3.25,0
P1332,6.35,51.06,1,55.8,1,60.66,3.42,1
P1333,0.42,52.92,1,55.3,1,34.0,2.88,1
P1334,8.1,59.83,1,37.2,1,79.17,2.69,0
P1335,9.36,69.78,1,65.5,1,96.13,2.84,0
P1336,4.93,58.56,1,58.3,1,62.3,2.93,0
P1337,2.89,47.05,0,60.3,1,50.64,2.95,1
P1338,5.79,63.19,1,38.9,1,86.39,2.18,0
P1339,7.86,52.21,1,34.8,1,66.77,3.2,0
P1340,3.06,25.32,0,40.3,1,21.96,2.87,1
P1341,4.7,55.13,0,54.3,1,64.75,3.15,0
P1342,0.84,51.64,1,35.6,0,61.28,2.54,1
P1343,5.4,59.32,1,54.5,1,72.52,2.92,1
P1344,7.44,63.86,1,24.1,1,78.41,3.05,0
P1345,0.6,55.21,1,23.9,0,52.72,2.59,1
P1346,8.72,64.87,0,42.0,1,88.26,3.23,0
P1347,2.99,51.57,0,29.8,0,55.28,2.3,1
P1348,2.1,53.23,0,59.6,0,53.65,2.68,0
P1349,5.98,62.57,0,22.4,1,85.51,3.25,0
P1350,4.27,58.12,1,32.4,1,64.2,3.48,0
P1351,4.35,45.14,1,46.9,1,41.95,3.52,1
P1352,9.75,60.66,0,60.3,1,68.64,2.41,0
P1353,4.85,44.14,0,49.3,1,55.18,2.62,1
P1354,3.66,50.5,1,26.0,0,60.71,1.71,1
P1355,7.43,75.98,0,65.5,0,92.77,1.92,1
P1356,8.16,57.84,1,54.0,1,59.02,3.16,1
P1357,9.81,68.07,1,56.8,1,70.96,3.53,0
P1358,3.1,54.82,0,31.5,0,59.69,2.08,0
P1359,7.75,70.9,1,27.9,1,82.79,2.93,0
P1360,5.32,52.82,1,69.1,1,55.2,2.95,1
P1361,3.74,69.03,1,49.0,1,76.07,3.23,1
P1362,3.96,49.47,0,37.9,0,65.95,3.02,0
P1363,1.79,61.43,0,45.3,0,63.94,1.5,1
P1364,4.1,53.7,1,27.8,0,65.15,3.22,1
P1365,5.18,65.04,1,29.5,1,61.46,2.76,0
P1366,3.26,43.31,0,29.0,1,44.03,2.06,1
P1367,3.27,45.49,1,57.2,0,56.42,2.17,1
P1368,4.34,50.12,1,61.9,1,50.7,4.0,0
P1369,5.5,59.38,1,51.1,1,52.37,2.55,1
P1370,2.63,48.36,1,61.8,0,54.97,2.6,0
P1371,2.56,44.4,0,30.9,0,52.93,2.45,1
P1372,4.88,62.93,1,20.7,1,83.93,3.21,0
P1373,4.14,62.8,1,31.3,0,65.45,2.23,0
P1374,0.33,36.66,1,48.5,1,32.63,3.13,1
P1375,9.96,62.1,1,58.2,1,75.05,2.97,0
P1376,3.98,49.55,1,66.9,1,56.2,2.44,1
P1377,1.01,47.1,1,22.9,1,49.22,2.68,1
P1378,4.86,41.78,0,43.9,0,39.69,2.96,1
P1379,7.75,49.82,1,27.0,1,55.55,2.6,0
P1380,4.52,50.69,0,64.5,0,47.47,2.35,1
P1381,8.94,55.76,0,53.1,1,72.78,2.87,1
P1382,9.11,68.76,1,57.2,1,88.5,2.69,0
P1383,6.15,60.46,0,29.0,1,77.03,2.97,0
P1384,2.75,47.18,1,43.0,1,40.24,2.87,1
P1385,2.27,52.86,1,63.6,0,50.49,1.32,1
P1386,3.09,43.45,1,60.9,1,43.16,2.41,1
P1387,0.42,42.16,1,39.2,1,41.85,2.99,0
P1388,2.33,46.69,1,27.0,1,36.76,2.88,1
P1389,6.65,55.2,1,56.9,1,55.8,2.99,1
P1390,6.72,59.95,1,21.6,1,74.54,2.95,1
P1391,8.92,62.72,0,56.7,1,82.17,3.24,0
P1392,0.55,40.24,0,67.8,0,47.89,2.45,1
P1393,8.84,53.02,1,35.2,1,68.25,3.41,0
